band,n,share,spread_rel_median,ape_median,pred_median,truth_median
crossed (sp/mid <= 0.07),2554,0.13794965971697093,-2.0,0.6950155750878881,32.58776108026427,112.0
Ikica IQR (0.07-0.58),4051,0.2188073890029167,0.3352601156069364,0.27581415108510043,134.30159333183167,110.0
intermediate (0.58-1.0),2460,0.13287242087069245,0.7641880770056537,0.49727427299572047,156.48549043662968,110.0
Lin-only regime (>1.0),9449,0.5103705304094199,2.0,0.5032274983416823,152.247444898825,110.0
